IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
LEONA,KOBIETA,4
ALANA,KOBIETA,4
ULA,KOBIETA,4
DARINA,KOBIETA,4
NATASHA,KOBIETA,4
MELA,KOBIETA,4
CLAUDIA,KOBIETA,4
LIZA,KOBIETA,4
ELIZAVETA,KOBIETA,4
KAMILLA,KOBIETA,4
STEFANIIA,KOBIETA,4
SIMONA,KOBIETA,4
MICHAELA,KOBIETA,4
NICOLETTA,KOBIETA,4
LINA,KOBIETA,4
PATRICIA,KOBIETA,4
ANABELL,KOBIETA,4
MIRANDA,KOBIETA,4
DARIIA,KOBIETA,3
CIRILLA,KOBIETA,3
VASYLISA,KOBIETA,3
ELISE,KOBIETA,3
URSULA,KOBIETA,3
ROSALIA,KOBIETA,3
ZOEY,KOBIETA,3
ODA,KOBIETA,3
CAROLINA,KOBIETA,3
BRONISŁAWA,KOBIETA,3
FATIMA,KOBIETA,3
TESSA,KOBIETA,3
KATALEYA,KOBIETA,3
LENKA,KOBIETA,3
NIKANDRA,KOBIETA,3
TEODOZJA,KOBIETA,3
SUSANA,KOBIETA,3
SAFIYA,KOBIETA,3
PENELOPE,KOBIETA,3
HORTENSJA,KOBIETA,3
DAIANA,KOBIETA,3
FELICIA,KOBIETA,3
MARIAMI,KOBIETA,3
ANGEL,KOBIETA,3
NIA,KOBIETA,3
MIRELA,KOBIETA,3
DANA,KOBIETA,3
MAGNOLIA,KOBIETA,3
HELENE,KOBIETA,3
DEBORA,KOBIETA,3
VIOLETTA,KOBIETA,3
WIWIANNA,KOBIETA,3
RADA,KOBIETA,3
EMILIANA,KOBIETA,3
NADIIA,KOBIETA,3
DILARA,KOBIETA,3
NELI,KOBIETA,3
OCTAVIA,KOBIETA,3
CAMILA,KOBIETA,3
YASMINA,KOBIETA,3
ELEN,KOBIETA,3
ISMENA,KOBIETA,3
SAWA,KOBIETA,3
INESS,KOBIETA,3
ALISIA,KOBIETA,3
SOFI,KOBIETA,3
MILLA,KOBIETA,3
LIJA,KOBIETA,3
DĄBRÓWKA,KOBIETA,3
INÈS,KOBIETA,3
NIKOLETA,KOBIETA,3
ZŁATA,KOBIETA,3
MADLEN,KOBIETA,3
LUCIA,KOBIETA,3
MIŁOCHNA,KOBIETA,3
ELISABETTA,KOBIETA,3
NAILA,KOBIETA,3
IRMA,KOBIETA,3
EMI,KOBIETA,3
KRISTINA,KOBIETA,3
DANIELLA,KOBIETA,3
BOGDANA,KOBIETA,3
KARLA,KOBIETA,3
MARIYA,KOBIETA,3
YASMIN,KOBIETA,3
LIGIA,KOBIETA,3
WARWARA,KOBIETA,3
ANIA,KOBIETA,3
ADEL,KOBIETA,3
ARLETTA,KOBIETA,3
CZESŁAWA,KOBIETA,3
ŻAKLINA,KOBIETA,3
LATIKA,KOBIETA,3
KESJA,KOBIETA,3
ELIF,KOBIETA,3
MIKA,KOBIETA,3
ISABELLE,KOBIETA,3
MEGAN,KOBIETA,3
CHLOÉ,KOBIETA,3
ZLATOSLAVA,KOBIETA,3
ESMERALDA,KOBIETA,3
FRANKA,KOBIETA,3
ILARIA,KOBIETA,3
DALILA,KOBIETA,3
ELLEN,KOBIETA,3
MINH TRANG,KOBIETA,2
DENISE,KOBIETA,2
MIŁANA,KOBIETA,2
POLLYANNA,KOBIETA,2
WIRGINIA,KOBIETA,2
DINA,KOBIETA,2
VITALINA,KOBIETA,2
GABRIELLE,KOBIETA,2
LÉNA,KOBIETA,2
ALICA,KOBIETA,2
TEREZA,KOBIETA,2
SUSANNE,KOBIETA,2
BAYA,KOBIETA,2
DARJA,KOBIETA,2
DAMIRA,KOBIETA,2
JEWA,KOBIETA,2
TAISIIA,KOBIETA,2
IVY,KOBIETA,2
ALISHA,KOBIETA,2
RUBY,KOBIETA,2
NARIN,KOBIETA,2
CHRISTINA,KOBIETA,2
JANNA,KOBIETA,2
ALISON,KOBIETA,2
EVELYN,KOBIETA,2
SYBILLA,KOBIETA,2
MYRA,KOBIETA,2
AMARA,KOBIETA,2
SOFÍA,KOBIETA,2
MALWA,KOBIETA,2
LIWIANA,KOBIETA,2
ANASTASIYA,KOBIETA,2
THEA,KOBIETA,2
CECILIA,KOBIETA,2
NIKOLETTA,KOBIETA,2
KAILANI,KOBIETA,2
SONJA,KOBIETA,2
IRA,KOBIETA,2
IVANA,KOBIETA,2
ODETTA,KOBIETA,2
ELİF,KOBIETA,2
ASSIA,KOBIETA,2
RAFAELA,KOBIETA,2
KEIRA,KOBIETA,2
AURIKA,KOBIETA,2
ZURI,KOBIETA,2
ANNIKA,KOBIETA,2
LILLIANNA,KOBIETA,2
ALESIA,KOBIETA,2
CHRYSTYNA,KOBIETA,2
CARLOTTA,KOBIETA,2
ELIZABET,KOBIETA,2
ROŻA,KOBIETA,2
VIRGINIA,KOBIETA,2
AURA,KOBIETA,2
KALA,KOBIETA,2
WIOLETA,KOBIETA,2
SANA,KOBIETA,2
VLADYSLAVA,KOBIETA,2
NADIEŻDA,KOBIETA,2
HANIFA,KOBIETA,2
ANGELA,KOBIETA,2
SAFIA,KOBIETA,2
JELENA,KOBIETA,2
MIŁKA,KOBIETA,2
ALYONA,KOBIETA,2
ARMINA,KOBIETA,2
MARCYJANNA,KOBIETA,2
IRIS,KOBIETA,2
LÉA,KOBIETA,2
MARGOT,KOBIETA,2
SASHA,KOBIETA,2
NEILA,KOBIETA,2
TEA,KOBIETA,2
NADIYA,KOBIETA,2
ASYA,KOBIETA,2
OLIVIJA,KOBIETA,2
VALERYIA,KOBIETA,2
ORINA,KOBIETA,2
AGNES,KOBIETA,2
TETIANA,KOBIETA,2
RENA,KOBIETA,2
MARYSIA,KOBIETA,2
ARIELLA,KOBIETA,2
HELEN,KOBIETA,2
ESTHER,KOBIETA,2
TARA,KOBIETA,2
VIOLA,KOBIETA,2
CORNELIA,KOBIETA,2
SELINA,KOBIETA,2
GABIJA,KOBIETA,2
ANH THU,KOBIETA,2
ISKRA,KOBIETA,2
JAGA,KOBIETA,2
LOUISA,KOBIETA,2
VLADISLAVA,KOBIETA,2
IGNACJA,KOBIETA,2
JULIETTE,KOBIETA,2
AN DUONG,KOBIETA,2
TAMAR,KOBIETA,2
TEKLA,KOBIETA,2
AYLIS,KOBIETA,2
SAMANTHA,KOBIETA,2
MALKA,KOBIETA,2
IRELIA,KOBIETA,2
DŻESIKA,KOBIETA,2
LAURENCJA,KOBIETA,2
EMILIJA,KOBIETA,2
DAISY,KOBIETA,2
AVRORA,KOBIETA,2
OPHELIA,KOBIETA,2
ANNE-SOPHIE,KOBIETA,2
DERYA,KOBIETA,2
RILEY,KOBIETA,2
SALOME,KOBIETA,2
ZHASMIN,KOBIETA,2
DELIA,KOBIETA,2
MELEK,KOBIETA,2
ULJANA,KOBIETA,2
ROSALINE,KOBIETA,2
SAMIJA,KOBIETA,2
GABI,KOBIETA,2
MOLLIE,KOBIETA,2
ALEXIS,KOBIETA,2
FLAVIA,KOBIETA,2
OLWIA,KOBIETA,2
SUSANNA,KOBIETA,2
ALIVIA,KOBIETA,2
MIRABELLA,KOBIETA,2
SAANVI,KOBIETA,2
ELEANOR,KOBIETA,2
MARIANA,KOBIETA,2
EWANGELINA,KOBIETA,2
TOMIRA,KOBIETA,2
ASHA,KOBIETA,2
IWANKA,KOBIETA,2
RADOCHNA,KOBIETA,2
MONICA,KOBIETA,2
JOLANDA,KOBIETA,2
LEANA,KOBIETA,2
ALYSSA,KOBIETA,2
GIA HAN,KOBIETA,2
BIBIANNA,KOBIETA,2
KATRIN,KOBIETA,2
HENRYKA,KOBIETA,2
AZALIA,KOBIETA,2
CAMILLA,KOBIETA,2
JENNY,KOBIETA,2
VIVIAN,KOBIETA,2
NASTURCJA,KOBIETA,2
TIANA,KOBIETA,2
ZOI,KOBIETA,2
AIZA,KOBIETA,2
ROZALIIA,KOBIETA,2
RUT,KOBIETA,2
ADELIA,KOBIETA,2
JESIENIJA,KOBIETA,2
DŻOANA,KOBIETA,2
MIRANA,KOBIETA,2
ILA,KOBIETA,2
RITAL,KOBIETA,2
KORDELIA,KOBIETA,2
DŻASMINA,KOBIETA,2
REBECA,KOBIETA,2
TIA,KOBIETA,2
VASILISA,KOBIETA,2
EZRA,KOBIETA,2
MADISON,KOBIETA,2
LIV,KOBIETA,2
JELYZAVETA,KOBIETA,2
NAYA,KOBIETA,2
CHENXI,KOBIETA,2
ALLA,KOBIETA,2
ISABELA,KOBIETA,2
YESENIYA,KOBIETA,2
ALEYNA,KOBIETA,2
OKTAVIA,KOBIETA,2
ROXANA,KOBIETA,2
MARGO,KOBIETA,2
ELODIE,KOBIETA,2
OLHA,KOBIETA,2
AMADEA,KOBIETA,2
ROKSOLANA,KOBIETA,2
LILIIA,KOBIETA,2
NORA,KOBIETA,2
JOSEFINE,KOBIETA,2
AMELIIA,KOBIETA,2
HAILEY,KOBIETA,2
KATARINA,KOBIETA,2
NADJA,KOBIETA,2
WIESŁAWA,KOBIETA,2
GEORGIA,KOBIETA,2
NILAY,KOBIETA,2
ELVIRA,KOBIETA,2
EMA,KOBIETA,2
ALBA,KOBIETA,2
JAROSŁAWA,KOBIETA,2
AMÁLIA,KOBIETA,2
NITA,KOBIETA,2
LOTTA,KOBIETA,2
KYLIE,KOBIETA,2
MATILDE,KOBIETA,2
JESENIA,KOBIETA,2
JOY,KOBIETA,2
LYDIA,KOBIETA,2
SELA,KOBIETA,2
JAMILA,KOBIETA,2
